timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1556035953826,8,Logout,200,,Thread-Gruppe 1-5,text,true,,10479,1825,10,10,http://localhost:30080/tools.descartes.teastore.webui/,2,0,0
1556035953826,2,Logout-0,302,,Thread-Gruppe 1-5,,true,,1344,1090,10,10,http://localhost:30080/tools.descartes.teastore.webui/loginAction,2,0,0
1556035953828,6,Logout-1,200,,Thread-Gruppe 1-5,text,true,,9135,735,10,10,http://localhost:30080/tools.descartes.teastore.webui/,6,0,0
1556035953833,5,Home,200,,Thread-Gruppe 1-1,text,true,,8822,147,10,10,http://localhost:30080/tools.descartes.teastore.webui/,5,0,0
1556035953811,28,Login,200,,Thread-Gruppe 1-3,text,true,,10104,1020,10,10,http://localhost:30080/tools.descartes.teastore.webui/,17,0,0
1556035953811,17,Login-0,302,,Thread-Gruppe 1-3,,true,,755,275,10,10,http://localhost:30080/tools.descartes.teastore.webui/loginAction,17,0,0
1556035953828,11,Login-1,200,,Thread-Gruppe 1-3,text,true,,9349,745,10,10,http://localhost:30080/tools.descartes.teastore.webui/,10,0,0
1556035953833,6,Home,200,,Thread-Gruppe 1-8,text,true,,8822,147,10,10,http://localhost:30080/tools.descartes.teastore.webui/,6,0,1
1556035953777,64,Add Product to Cart,200,,Thread-Gruppe 1-7,text,true,,27004,1737,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,8,0,0
1556035953777,8,Add Product to Cart-0,302,,Thread-Gruppe 1-7,,true,,884,863,10,10,http://localhost:30080/tools.descartes.teastore.webui/cartAction,8,0,0
1556035953786,55,Add Product to Cart-1,200,,Thread-Gruppe 1-7,text,true,,26120,874,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,54,0,0
1556035953835,10,Home,200,,Thread-Gruppe 1-5,text,true,,8822,147,10,10,http://localhost:30080/tools.descartes.teastore.webui/,10,0,0
1556035953786,62,Add Product to Cart,200,,Thread-Gruppe 1-9,text,true,,25367,1740,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,7,0,0
1556035953786,7,Add Product to Cart-0,302,,Thread-Gruppe 1-9,,true,,886,864,10,10,http://localhost:30080/tools.descartes.teastore.webui/cartAction,7,0,0
1556035953793,55,Add Product to Cart-1,200,,Thread-Gruppe 1-9,text,true,,24481,876,10,10,http://localhost:30080/tools.descartes.teastore.webui/cart,55,0,0
1556035953789,62,Look at Product,200,,Thread-Gruppe 1-4,text,true,,125904,759,10,10,http://localhost:30080/tools.descartes.teastore.webui/product?id=424,61,0,0
1556035953822,37,List Products,200,,Thread-Gruppe 1-6,text,true,,100621,770,10,10,http://localhost:30080/tools.descartes.teastore.webui/category?category=2&page=1,36,0,0
1556035953839,23,Login,200,,Thread-Gruppe 1-1,text,true,,10105,1021,10,10,http://localhost:30080/tools.descartes.teastore.webui/,16,0,0
1556035953839,16,Login-0,302,,Thread-Gruppe 1-1,,true,,756,275,10,10,http://localhost:30080/tools.descartes.teastore.webui/loginAction,16,0,0
1556035953855,7,Login-1,200,,Thread-Gruppe 1-1,text,true,,9349,746,10,10,http://localhost:30080/tools.descartes.teastore.webui/,7,0,0
1556035953845,24,Login,200,,Thread-Gruppe 1-5,text,true,,10105,1021,10,10,http://localhost:30080/tools.descartes.teastore.webui/,18,0,0
1556035953845,18,Login-0,302,,Thread-Gruppe 1-5,,true,,756,275,10,10,http://localhost:30080/tools.descartes.teastore.webui/loginAction,18,0,0
1556035953863,6,Login-1,200,,Thread-Gruppe 1-5,text,true,,9349,746,10,10,http://localhost:30080/tools.descartes.teastore.webui/,6,0,0
